DateTime,stationId,temp_value,humidity_value,rainfall_value
2024-04-14T18:59:59,S107,28.46248144,78.67770531,0
2024-04-14T17:59:59,S107,28.46248144,78.67770531,0
2024-04-14T16:59:59,S107,28.46248144,78.67770531,0
2024-04-14T15:59:59,S107,28.46248144,78.67770531,0
2024-04-14T14:59:59,S107,28.46248144,78.67770531,0
2024-04-14T13:59:59,S107,28.46248144,78.67770531,0
2024-04-14T12:59:59,S107,28.46248144,78.67770531,0
2024-04-14T11:59:59,S107,28.46248144,78.67770531,0
2024-04-14T10:59:59,S107,28.46248144,78.67770531,0
2024-04-14T09:59:59,S107,28.46248144,78.67770531,0
2024-04-14T08:59:59,S107,28.46248144,78.67770531,0
2024-04-14T07:59:59,S107,28.46248144,78.67770531,0
2024-04-14T06:59:59,S107,28.46248144,78.67770531,0
2024-04-14T05:59:59,S107,28.46248144,78.67770531,0
2024-04-14T04:59:59,S107,28.46248144,78.67770531,0
2024-04-14T03:59:59,S107,28.46248144,78.67770531,0
2024-04-14T02:59:59,S107,28.46248144,78.67770531,0
2024-04-14T01:59:59,S107,28.46248144,78.67770531,0
2024-04-14T00:59:59,S107,28.46248144,78.67770531,0
2024-04-13T23:59:59,S107,28.46248144,78.67770531,0
2024-04-13T22:59:59,S107,28.46248144,78.67770531,0
2024-04-13T21:59:59,S107,28.46248144,78.67770531,0
2024-04-13T20:59:59,S107,28.46248144,78.67770531,0
2024-04-13T19:59:59,S107,28.46248144,78.67770531,0
2024-04-13T18:59:59,S107,28.46248144,78.67770531,0
2024-04-13T17:59:59,S107,28.46248144,78.67770531,0
2024-04-13T16:59:59,S107,28.46248144,78.67770531,0
2024-04-13T15:59:59,S107,28.46248144,78.67770531,0
2024-04-13T14:59:59,S107,28.46248144,78.67770531,0
2024-04-13T13:59:59,S107,28.46248144,78.67770531,0
2024-04-13T12:59:59,S107,28.46248144,78.67770531,0
2024-04-13T11:59:59,S107,28.46248144,78.67770531,0
2024-04-13T10:59:59,S107,28.46248144,78.67770531,0
2024-04-13T09:59:59,S107,28.46248144,78.67770531,0
2024-04-13T08:59:59,S107,28.46248144,78.67770531,0
2024-04-13T07:59:59,S107,28.46248144,78.67770531,0
2024-04-13T05:59:59,S107,28.46248144,78.67770531,0
2024-04-13T04:59:59,S107,28.46248144,78.67770531,0
2024-04-13T03:59:59,S107,28.46248144,78.67770531,0
2024-04-13T02:59:59,S107,28.46248144,78.67770531,0
2024-04-13T01:59:59,S107,28.46248144,78.67770531,0
2024-04-13T00:59:59,S107,28.46248144,78.67770531,0
2024-04-12T23:59:59,S107,28.46248144,78.67770531,0
2024-04-12T22:59:59,S107,28.46248144,78.67770531,0
2024-04-12T21:59:59,S107,28.46248144,78.67770531,0
