Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,peak_period,Average Taxi Availability,IsWeekend,Hour
0.3946803,0.8106509,0.7837563,0.0,0.0,0.27522936,1.0,0.39130434
0.35867813,0.7869823,0.835533,0.0,0.0,0.34386683,1.0,0.3478261
0.36163354,0.76035506,0.86598986,0.0,0.0,0.38464153,1.0,0.3043478
0.34390113,0.74852073,0.880203,0.0,0.0,0.35915732,1.0,0.26086956
0.39871037,0.75443786,0.8720812,0.0,0.0,0.3625552,1.0,0.2173913
0.27538958,0.76035506,0.8629442,0.0,0.0,0.27217126,1.0,0.17391305
0.2517464,0.76035506,0.87106603,0.0,0.0,0.2738702,1.0,0.13043478
0.33100483,0.7662722,0.8649746,0.0,0.0,0.3156643,1.0,0.08695652
0.41268134,0.7692308,0.8639594,0.0,0.0,0.30513084,1.0,0.04347826
0.35276732,0.7721894,0.84771574,0.0,0.0,0.2640163,1.0,0.0
0.45728102,0.775148,0.8456853,0.0,1.0,0.39993206,0.0,1.0
0.45298228,0.7840237,0.81624365,0.0,1.0,0.30648997,0.0,0.95652175
0.5029554,0.7869823,0.82335025,0.0,1.0,0.425756,0.0,0.9130435
0.6362171,0.79585797,0.8172589,0.0,1.0,0.42915392,0.0,0.8695652
0.51746374,0.8076923,0.7766498,0.0,1.0,0.28712198,0.0,0.82608694
0.31649652,0.831361,0.70050764,0.0,1.0,0.26877335,0.0,0.7826087
0.36942503,0.8609468,0.6527919,0.0,1.0,0.29153925,0.0,0.73913044
0.40408382,0.8757397,0.6395939,0.0,0.0,0.3880394,0.0,0.6956522
0.4357872,0.89053255,0.6081219,0.0,0.0,0.4233775,0.0,0.65217394
0.45190758,0.88757396,0.6152284,0.0,0.0,0.35745835,0.0,0.6086956
0.4312198,0.8757397,0.64467007,0.0,0.0,0.3374108,0.0,0.5652174
0.45916173,0.8727811,0.66903555,0.0,0.0,0.29833502,0.0,0.5217391
0.44357872,0.8372781,0.73705584,0.0,0.0,0.39109752,0.0,0.47826087
0.61069316,0.8284024,0.7543148,0.0,0.0,0.45667687,0.0,0.4347826
0.6332617,0.80473375,0.7888325,0.0,0.0,0.5005097,0.0,0.39130434
0.60102093,0.775148,0.8324873,0.0,0.0,0.44308528,0.0,0.3478261
0.45593765,0.74852073,0.87309647,0.0,0.0,0.43119267,0.0,0.3043478
0.397367,0.7426036,0.87411165,0.0,0.0,0.40502888,0.0,0.26086956
0.3637829,0.7455622,0.86903554,0.0,0.0,0.3377506,0.0,0.2173913
0.43175712,0.74852073,0.8751269,0.0,0.0,0.31634387,0.0,0.17391305
0.4320258,0.74852073,0.87614214,0.0,0.0,0.3126062,0.0,0.13043478
0.40999463,0.75147927,0.86598986,0.0,0.0,0.36595312,0.0,0.08695652
0.3718431,0.75443786,0.86091375,0.0,0.0,0.3340129,0.0,0.04347826
0.4516389,0.75443786,0.8507615,0.0,0.0,0.34760448,0.0,0.0
0.5806018,0.7662722,0.8192893,0.0,1.0,0.42269793,0.0,1.0
0.5386889,0.7692308,0.80913705,0.0,1.0,0.362895,0.0,0.95652175
0.5069855,0.7781065,0.7959391,0.0,1.0,0.48861706,0.0,0.9130435
0.6483074,0.7840237,0.7847716,0.0,1.0,0.50390756,0.0,0.8695652
0.72058034,0.79585797,0.74111676,0.0,1.0,0.4811417,0.0,0.82608694
0.49758196,0.8165681,0.67715734,0.0,1.0,0.43798843,0.0,0.7826087
0.58167654,0.8254438,0.680203,0.0,1.0,0.47604486,0.0,0.73913044
0.5343901,0.84319526,0.6345178,0.0,0.0,0.56642884,0.0,0.6956522
0.6225148,0.8639054,0.62639594,0.0,0.0,0.55657494,0.0,0.65217394
0.5918861,0.8579882,0.6426396,0.0,0.0,0.5147808,0.0,0.6086956
0.52471787,0.8579882,0.635533,0.0,0.0,0.490316,0.0,0.5652174
0.66603976,0.84615386,0.6436548,0.0,0.0,0.40842676,0.0,0.5217391
0.5204191,0.84615386,0.68223345,0.0,0.0,0.3625552,0.0,0.47826087
0.60290164,0.8195267,0.7258883,0.0,0.0,0.37172952,0.0,0.4347826
0.55400324,0.7928994,0.7807107,0.0,0.0,0.408087,0.0,0.39130434
0.47017732,0.7662722,0.81522846,0.0,0.0,0.3955148,0.0,0.3478261
0.41536808,0.74852073,0.8314721,0.0,0.0,0.4043493,0.0,0.3043478
0.4022031,0.739645,0.8406092,0.0,0.0,0.39959225,0.0,0.26086956
0.44599676,0.7307693,0.85888326,0.0,0.0,0.39687395,0.0,0.2173913
0.41859215,0.7337278,0.8527919,0.0,0.0,0.375807,0.0,0.17391305
0.4250403,0.7455622,0.8263959,0.0,0.0,0.35915732,0.0,0.13043478
0.4545943,0.74852073,0.813198,0.0,0.0,0.38769963,0.0,0.08695652
0.4615798,0.75443786,0.81116754,0.0,0.0,0.33537206,0.0,0.04347826
0.48092425,0.76035506,0.7959391,0.0,0.0,0.32415903,0.0,0.0
0.5222998,0.76035506,0.7979695,0.0,1.0,0.40672782,0.0,1.0
0.5580333,0.75443786,0.8538071,0.0,1.0,0.36901122,0.0,0.95652175
0.5440623,0.7633136,0.835533,0.0,1.0,0.38668028,0.0,0.9130435
0.6141859,0.7692308,0.813198,0.0,1.0,0.40231055,0.0,0.8695652
0.66711444,0.7781065,0.81522846,0.0,1.0,0.40265036,0.0,0.82608694
